date,currency,index,pct_change,base_date
2026-02-24,EUR,100.0,,2026-02-24
2026-02-25,EUR,100.1381,0.1381,2026-02-24
2026-02-26,EUR,100.0186,-0.1194,2026-02-24
2026-02-27,EUR,100.0351,0.0165,2026-02-24
2026-02-28,EUR,100.0974,0.0623,2026-02-24
2026-03-01,EUR,100.0974,-0.0,2026-02-24
2026-03-02,EUR,100.1366,0.0392,2026-02-24
2026-03-03,EUR,100.4465,0.3095,2026-02-24
2026-03-04,EUR,100.4833,0.0367,2026-02-24
2026-03-05,EUR,100.4833,0.0,2026-02-24
2026-02-24,CHF,100.0,,2026-02-24
2026-02-25,CHF,99.8778,-0.1222,2026-02-24
2026-02-26,CHF,99.8457,-0.0322,2026-02-24
2026-02-27,CHF,99.9198,0.0742,2026-02-24
2026-02-28,CHF,99.4751,-0.445,2026-02-24
2026-03-01,CHF,99.4751,0.0,2026-02-24
2026-03-02,CHF,99.2277,-0.2487,2026-02-24
2026-03-03,CHF,100.2332,1.0133,2026-02-24
2026-03-04,CHF,99.6796,-0.5523,2026-02-24
2026-03-05,CHF,99.6796,0.0,2026-02-24
2026-02-24,JPY,100.0,,2026-02-24
2026-02-25,JPY,100.5908,0.5908,2026-02-24
2026-02-26,JPY,101.0245,0.4312,2026-02-24
2026-02-27,JPY,100.7582,-0.2636,2026-02-24
2026-02-28,JPY,101.0657,0.3052,2026-02-24
2026-03-01,JPY,101.0657,0.0,2026-02-24
2026-03-02,JPY,101.122,0.0557,2026-02-24
2026-03-03,JPY,101.2264,0.1032,2026-02-24
2026-03-04,JPY,100.5421,-0.676,2026-02-24
2026-03-05,JPY,100.5421,-0.0,2026-02-24
2026-02-24,NOK,100.0,,2026-02-24
2026-02-25,NOK,99.9956,-0.0044,2026-02-24
2026-02-26,NOK,100.1231,0.1275,2026-02-24
2026-02-27,NOK,100.0577,-0.0654,2026-02-24
2026-02-28,NOK,99.691,-0.3665,2026-02-24
2026-03-01,NOK,99.691,-0.0,2026-02-24
2026-03-02,NOK,99.5906,-0.1007,2026-02-24
2026-03-03,NOK,99.5593,-0.0314,2026-02-24
2026-03-04,NOK,100.1573,0.6006,2026-02-24
2026-03-05,NOK,100.1573,0.0,2026-02-24
2026-02-24,GBP,100.0,,2026-02-24
2026-02-25,GBP,100.0541,0.0541,2026-02-24
2026-02-26,GBP,99.8327,-0.2213,2026-02-24
2026-02-27,GBP,100.2677,0.4358,2026-02-24
2026-02-28,GBP,100.3799,0.1119,2026-02-24
2026-03-01,GBP,100.3799,-0.0,2026-02-24
2026-03-02,GBP,100.6079,0.2271,2026-02-24
2026-03-03,GBP,100.3714,-0.2351,2026-02-24
2026-03-04,GBP,100.0922,-0.2782,2026-02-24
2026-03-05,GBP,100.0922,-0.0,2026-02-24
2026-02-24,USD,100.0,,2026-02-24
2026-02-25,USD,100.1717,0.1717,2026-02-24
2026-02-26,USD,100.355,0.183,2026-02-24
2026-02-27,USD,100.1669,-0.1874,2026-02-24
2026-02-28,USD,100.305,0.1379,2026-02-24
2026-03-01,USD,100.305,0.0,2026-02-24
2026-03-02,USD,100.1553,-0.1492,2026-02-24
2026-03-03,USD,99.6384,-0.5161,2026-02-24
2026-03-04,USD,98.7509,-0.8908,2026-02-24
2026-03-05,USD,98.7509,-0.0,2026-02-24
2026-02-24,CNY,100.0,,2026-02-24
2026-02-25,CNY,99.7758,-0.2242,2026-02-24
2026-02-26,CNY,99.5324,-0.2439,2026-02-24
2026-02-27,CNY,99.5712,0.039,2026-02-24
2026-02-28,CNY,99.6853,0.1145,2026-02-24
2026-03-01,CNY,99.6853,-0.0,2026-02-24
2026-03-02,CNY,99.709,0.0238,2026-02-24
2026-03-03,CNY,99.3958,-0.3141,2026-02-24
2026-03-04,CNY,99.1268,-0.2706,2026-02-24
2026-03-05,CNY,99.1268,0.0,2026-02-24
2026-02-24,SEK,100.0,,2026-02-24
2026-02-25,SEK,99.739,-0.261,2026-02-24
2026-02-26,SEK,99.8015,0.0626,2026-02-24
2026-02-27,SEK,100.0502,0.2492,2026-02-24
2026-02-28,SEK,99.881,-0.1692,2026-02-24
2026-03-01,SEK,99.881,-0.0,2026-02-24
2026-03-02,SEK,100.0093,0.1284,2026-02-24
2026-03-03,SEK,100.7823,0.7729,2026-02-24
2026-03-04,SEK,101.3689,0.5821,2026-02-24
2026-03-05,SEK,101.3689,0.0,2026-02-24
2026-02-24,MXN,100.0,,2026-02-24
2026-02-25,MXN,99.6758,-0.3242,2026-02-24
2026-02-26,MXN,99.8492,0.174,2026-02-24
2026-02-27,MXN,99.8044,-0.0448,2026-02-24
2026-02-28,MXN,100.0993,0.2955,2026-02-24
2026-03-01,MXN,100.0993,0.0,2026-02-24
2026-03-02,MXN,100.1163,0.017,2026-02-24
2026-03-03,MXN,99.9612,-0.155,2026-02-24
2026-03-04,MXN,101.5827,1.6222,2026-02-24
2026-03-05,MXN,101.5827,0.0,2026-02-24
2026-02-24,CAD,100.0,,2026-02-24
2026-02-25,CAD,100.1001,0.1001,2026-02-24
2026-02-26,CAD,100.0923,-0.0078,2026-02-24
2026-02-27,CAD,99.9463,-0.1459,2026-02-24
2026-02-28,CAD,99.8522,-0.0941,2026-02-24
2026-03-01,CAD,99.8522,0.0,2026-02-24
2026-03-02,CAD,99.7402,-0.1122,2026-02-24
2026-03-03,CAD,99.3335,-0.4078,2026-02-24
2026-03-04,CAD,98.6339,-0.7043,2026-02-24
2026-03-05,CAD,98.6339,-0.0,2026-02-24
2026-02-24,AUD,100.0,,2026-02-24
2026-02-25,AUD,99.8854,-0.1146,2026-02-24
2026-02-26,AUD,99.5355,-0.3503,2026-02-24
2026-02-27,AUD,99.4305,-0.1055,2026-02-24
2026-02-28,AUD,99.4795,0.0492,2026-02-24
2026-03-01,AUD,99.4795,-0.0,2026-02-24
2026-03-02,AUD,99.5993,0.1204,2026-02-24
2026-03-03,AUD,99.0758,-0.5256,2026-02-24
2026-03-04,AUD,99.628,0.5574,2026-02-24
2026-03-05,AUD,99.628,0.0,2026-02-24
